id,screen,control,role,preconditions_and_validation,action_and_target,success,failure,acceptance_test_id,acceptance,implementation_status,implementation_refs,test_status,test_refs
S01-04,S01,Outstanding balance / Active loans,有贷款读取权限,如设计为可点击必须显示链接样式,到S14对应筛选，聚合来自GET /dashboard,统计和列表计算口径一致；无数据不显示示例金额,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S01-04,统计和列表计算口径一致；无数据不显示示例金额,not_implemented,[],not_run,[]
S02-01,S02,Add borrower,Loan officer,无,进入S20新增表单,成功后新客户出现在搜索结果,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S02-01,成功后新客户出现在搜索结果,not_implemented,[],not_run,[]
S02-02,S02,Edit details,Loan officer,借款人存在且version有效,进入S20编辑，GET /borrowers/:id预填,只改选中客户；不会新增重复客户,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S02-02,只改选中客户；不会新增重复客户,not_implemented,[],not_run,[]
S02-03,S02,Start application,Loan officer,借款人必需资料完整,POST /applications含borrowerId后到S04,重复点击只创建一个草稿,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S02-03,重复点击只创建一个草稿,not_implemented,[],not_run,[]
S02-04,S02,Details / Loans / View loan,读取角色,借款人／贷款范围权限,详情标签只读资料；Loans查询该borrower贷款；View loan到S08,多笔贷款全部可分页查看,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S02-04,多笔贷款全部可分页查看,not_implemented,[],not_run,[]
S02-05,S02,Link account / View linked account,Loan officer,借款人范围权限,进入S17并显示当前关联,不能仅匹配姓名就开放贷款数据,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S02-05,不能仅匹配姓名就开放贷款数据,not_implemented,[],not_run,[]
S03-01,S03,New application,Loan officer,无,POST /applications创建草稿，进入borrower步骤,无客户时可新增再返回，草稿ID稳定,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S03-01,无客户时可新增再返回，草稿ID稳定,not_implemented,[],not_run,[]
S03-02,S03,草稿行 / Edit draft,Loan officer,DRAFT，版本未过期,到S04上次服务端保存步骤,重启浏览器仍能恢复已保存内容,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S03-02,重启浏览器仍能恢复已保存内容,not_implemented,[],not_run,[]
S03-03,S03,Awaiting valuation / Manager review / Decided,相应员工,筛选权限,查询估值维度／申请状态；Disbursed由关联贷款状态衍生,草稿显示修改时间而非假提交日期,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S03-03,草稿显示修改时间而非假提交日期,not_implemented,[],not_run,[]
S04-01,S04,Borrower搜索 / Select borrower,Loan officer,已保存的有效borrower；同一草稿未提交,GET /borrowers?q=，PATCH /applications/:id保存borrowerId,切换borrower提示关联内容影响，刷新仍选中正确客户,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S04-01,切换borrower提示关联内容影响，刷新仍选中正确客户,not_implemented,[],not_run,[]
S04-02,S04,Add new borrower,Loan officer,无,打开S20，保存后返回当前草稿并选中,不会丢当前草稿,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S04-02,不会丢当前草稿,not_implemented,[],not_run,[]
S04-03,S04,Save draft,Loan officer,DRAFT；允许缺必填但已填数据合法,PATCH /applications/:id含expectedVersion,刷新恢复；409保留输入并说明有新版本,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S04-03,刷新恢复；409保留输入并说明有新版本,not_implemented,[],not_run,[]
S04-04,S04,Continue,Loan officer,当前步骤必填与格式正确,保存当前步骤后到下一步；字段错误聚焦首项,保存失败不跳步，已填信息不丢,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S04-04,保存失败不跳步，已填信息不丢,not_implemented,[],not_run,[]
S04-05,S04,Back / 五步Step导航,Loan officer,离开脏表单先保存或确认；未提交,回前步／已访问步骤；跨步不绕过提交校验,最终review仍检查全部步骤,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S04-05,最终review仍检查全部步骤,not_implemented,[],not_run,[]
S04-06,S04,Manage security assets,Loan officer,DRAFT,到S21 security步骤,当前申请ID保持不变,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S04-06,当前申请ID保持不变,not_implemented,[],not_run,[]
S05-01,S05,Asset selector / Valuation photos,Valuation officer；相关员工只读,分配的估值任务,选择当前任务资产；上传继承GLOBAL且绑定估值版本,不把照片写到另一申请,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S05-01,不把照片写到另一申请,not_implemented,[],not_run,[]
S05-02,S05,Save draft,Valuation officer,任务REQUESTED或IN_PROGRESS；已填合法,POST /valuations或PATCH /valuations/:id草稿,不显示Valuation completed，不开启审批资格,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S05-02,不显示Valuation completed，不开启审批资格,not_implemented,[],not_run,[]
S05-03,S05,Save valuation / Complete valuation,Valuation officer,金额、依据、日期、三方参与记录齐全,POST /valuations/:id/complete保存完整快照,缺任一参与者422；完成后申请readiness更新,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S05-03,缺任一参与者422；完成后申请readiness更新,not_implemented,[],not_run,[]
S05-04,S05,参与人选择 / Present记录,Valuation officer,人员属于正确角色；借款人为当前申请对象,表单记录实际参与人员、方式、时间，随估值保存,不是固定姓名或默认全部Present,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S05-04,不是固定姓名或默认全部Present,not_implemented,[],not_run,[]
S06-01,S06,Application / Valuation / Repayment terms / History,Manager及允许只读员工,申请读取权限,加载提交快照与历史，标签不改状态,经理看到的版本与提交一致,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S06-01,经理看到的版本与提交一致,not_implemented,[],not_run,[]
S06-02,S06,View details / Open repayment terms,Manager及允许只读员工,对应记录权限,打开S05或S15只读模式,审批中不能偷偷修改原条款,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S06-02,审批中不能偷偷修改原条款,not_implemented,[],not_run,[]
S06-03,S06,Review checklist复选框,Manager,SUBMITTED且ready,本次复核确认；不代替服务器前置校验,未勾全禁用批准；API仍复核readiness,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S06-03,未勾全禁用批准；API仍复核readiness,not_implemented,[],not_run,[]
S06-04,S06,Approve application,Manager,SUBMITTED、ready、已复核、expectedVersion,打开批准确认，展示金额、资产和计划摘要,尚未最终确认时没有审批写入,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S06-04,尚未最终确认时没有审批写入,not_implemented,[],not_run,[]
S06-05,S06,Confirm approval,Manager,同上且快照未变,POST /applications/:id/decision decision=approve,一次决定、生成未放款贷款，不产生放款交易,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S06-05,一次决定、生成未放款贷款，不产生放款交易,not_implemented,[],not_run,[]
S06-06,S06,Decline / Confirm decline,Manager,SUBMITTED；拒绝原因必填1–1000；客户公开说明独立,打开拒绝理由表单，确认POST decision=decline,客户只看到公开说明；经理内部备注不外泄,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S06-06,客户只看到公开说明；经理内部备注不外泄,not_implemented,[],not_run,[]
S07-01,S07,Receive security / 行进入入库,Valuation officer,批准关联贷款；资产未STORED/RETURNED/SOLD,打开入库抽屉，GET /assets/:id,列出收到、检查、位置三个条件,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S07-01,列出收到、检查、位置三个条件,not_implemented,[],not_run,[]
S07-02,S07,Confirm intake,Valuation officer,收到日期、经办人、检查合格、符合估值记录、库位齐全,POST /assets/:id/intake带version,原子写入交接事件；放款条件即时反映,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S07-02,原子写入交接事件；放款条件即时反映,not_implemented,[],not_run,[]
S07-03,S07,检查不合格 / Report mismatch,Valuation officer,实际不符合；原因必填,保存inspection异常，资产保持待处理并通知贷款专员／经理,不能勾选不匹配仍完成合格入库,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S07-03,不能勾选不匹配仍完成合格入库,not_implemented,[],not_run,[]
S07-04,S07,Update storage / Update condition,Valuation officer,资产STORED；理由必填,PATCH /assets/:id/custody追加位置／检查事件,旧库位历史保留，客户界面不见库位,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S07-04,旧库位历史保留，客户界面不见库位,not_implemented,[],not_run,[]
S07-05,S07,Return security / Record sale,Valuation officer,服务器allowedActions允许,分别到S11/S12；不满足给禁用原因,非结清不可归还，非违约不可出售,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S07-05,非结清不可归还，非违约不可出售,not_implemented,[],not_run,[]
S08-01,S08,View repayment schedule / Account tabs,贷款读取角色,对应贷款权限,加载schedule、transactions、security、history,各标签同loanId，历史显示实际作者时间,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S08-01,各标签同loanId，历史显示实际作者时间,not_implemented,[],not_run,[]
S08-02,S08,View application,贷款读取角色,关联申请可读,到S06只读或有权决策模式,资金已放出不能再显示批准按钮,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S08-02,资金已放出不能再显示批准按钮,not_implemented,[],not_run,[]
S08-03,S08,View asset / View all transactions,贷款读取角色,相应读取范围,到S07资产详情／S13限定loanId,返回贷款时保留标签,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S08-03,返回贷款时保留标签,not_implemented,[],not_run,[]
S08-04,S08,Disburse loan,Cashier,APPROVED_UNFUNDED及所有资产条件满足,到S09；不满足显示原因及可读资产入口,经理不能调用此POST,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S08-04,经理不能调用此POST,not_implemented,[],not_run,[]
S08-05,S08,Record repayment,Cashier,已放款、无相关未决attempt、规则允许收款,到S10,已结清按钮不可用，原因明确,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S08-05,已结清按钮不可用，原因明确,not_implemented,[],not_run,[]
S08-06,S08,Declare default / Confirm default,Manager,已放款；正式违约政策有效；原因和依据必填,复核后POST /loans/:id/default,逾期不自动违约；审计记录决定者和依据,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S08-06,逾期不自动违约；审计记录决定者和依据,not_implemented,[],not_run,[]
S08-07,S08,Settlement / Resolve sale balance,Manager审核、Cashier执行,已出售、收款已记账、差额政策有效,GET /loans/:id/quotes?type=settlement；显示差额及允许动作；复核POST settlement-actions,规则缺失显示待结算；不偷偷把欠款归零,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S08-07,规则缺失显示待结算；不偷偷把欠款归零,not_implemented,[],not_run,[]
S09-01,S09,Review disbursement,Cashier,批准、收到、检查、存储、未放款；方式及日期合法,服务端预检与quote后打开复核面板,审批撤销／并发放款会被服务器拒绝,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S09-01,审批撤销／并发放款会被服务器拒绝,not_implemented,[],not_run,[]
S09-02,S09,Confirm disbursement,Cashier,quote及version有效；创建attemptId,POST /loans/:id/disbursements含Idempotency-Key,重复请求返回同交易与回执；贷款变ACTIVE一次,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S09-02,重复请求返回同交易与回执；贷款变ACTIVE一次,not_implemented,[],not_run,[]
S09-03,S09,Cancel / Back to edit,Cashier,尚未提交,取消回S08；编辑回录入表单,不记账；已提交超时必须走G01,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S09-03,不记账；已提交超时必须走G01,not_implemented,[],not_run,[]
S10-01,S10,Loan选择 / Payment method / Received on,Cashier,选中可收款贷款；日期方式在政策范围,选贷款GET余额，改变金额或日期使旧quote失效,不能用旧贷款余额核算新贷款还款,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S10-01,不能用旧贷款余额核算新贷款还款,not_implemented,[],not_run,[]
S10-02,S10,Review repayment,Cashier,金额>0、小数≤2位；规则支持部分/超额/提前与业务日期,GET /loans/:id/quotes?type=repayment并打开复核,展示服务端计算的分配与结余；不前端减法冒充,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S10-02,展示服务端计算的分配与结余；不前端减法冒充,not_implemented,[],not_run,[]
S10-03,S10,Confirm repayment,Cashier,quote和version有效，无未决意图,POST /loans/:id/repayments含幂等key,余额、计划、账本、回执一次提交；超时转G01,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S10-03,余额、计划、账本、回执一次提交；超时转G01,not_implemented,[],not_run,[]
S10-04,S10,Back to edit / Cancel,Cashier,未提交,返回编辑／S08；更改后必须重新quote,不重用失效确认数据,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S10-04,不重用失效确认数据,not_implemented,[],not_run,[]
S10-05,S10,View receipt / Record another payment,Cashier,前笔已确认committed或明确rejected,回执到S13；新收款重新载入余额并生成新意图,pending时Record another payment禁用,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S10-05,pending时Record another payment禁用,not_implemented,[],not_run,[]
S11-01,S11,Borrower and asset checked复选框,Valuation officer,完成实际借款人、资产身份核对,记录核对方法及对象，影响review资格,未勾选不得最终归还,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S11-01,未勾选不得最终归还,not_implemented,[],not_run,[]
S11-02,S11,Review return,Valuation officer,余额0、SETTLED、资产STORED、无更正/处置锁；交接信息齐全,服务端预检后显示资产、接收人和交接摘要,余额变化立即使确认资格失效,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S11-02,余额变化立即使确认资格失效,not_implemented,[],not_run,[]
S11-03,S11,Confirm return,Valuation officer,最新资格、version有效,POST /assets/:id/return,同资产仅一次归还；库存与客户时间线一致,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S11-03,同资产仅一次归还；库存与客户时间线一致,not_implemented,[],not_run,[]
S11-04,S11,Back to asset,Valuation officer,脏表单保护,回S07详情,没有静默提交或丢失已保存交接记录,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S11-04,没有静默提交或丢失已保存交接记录,not_implemented,[],not_run,[]
S12-01,S12,Save draft,Valuation officer,DEFAULTED且资产仍可出售；已填字段合法,保存sale草稿 POST/PATCH /assets/:id/sale-draft,不标记SOLD，不产生资金流水,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S12-01,不标记SOLD，不产生资金流水,not_implemented,[],not_run,[]
S12-02,S12,Linked cashier receipt下拉,Valuation officer,仅同贷款、同处置、未被其他处置使用的sale receipt,GET /transactions?type=sale_proceeds&loanId=并选择或留待收款,金额/贷款不匹配禁止关联，不能用还款回执充当出售收入,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S12-02,金额/贷款不匹配禁止关联，不能用还款回执充当出售收入,not_implemented,[],not_run,[]
S12-03,S12,Review sale,Valuation officer,已违约、资产在库、买方/金额/日期资料齐全,预检后展示出售复核；无回执明确等待出纳收款,不把未收款销售显示为已结算,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S12-03,不把未收款销售显示为已结算,not_implemented,[],not_run,[]
S12-04,S12,Confirm sale,Valuation officer,version有效，未归还/出售,POST /assets/:id/sale；附可选有效receiptId,实物SOLD并保留审计；不自动冲减余额,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S12-04,实物SOLD并保留审计；不自动冲减余额,not_implemented,[],not_run,[]
S12-05,S12,Record sale proceeds / Confirm sale receipt,Cashier,已有sale记录，金额匹配或政策允许的明确差异,复用S10录入/复核；POST /loans/:id/sale-receipts幂等记账,估值专员不能收款；超时走G01；余款/不足保持待处理,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S12-05,估值专员不能收款；超时走G01；余款/不足保持待处理,not_implemented,[],not_run,[]
S13-01,S13,交易行 / View receipt,交易读取角色,读取范围,GET /transactions/:id和/receipt打开抽屉,原交易与更正关联都可查，不能编辑原金额,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S13-01,原交易与更正关联都可查，不能编辑原金额,not_implemented,[],not_run,[]
S13-02,S13,Print receipt / Close,交易读取角色,已记账回执,继承GLOBAL打印及关闭，客户使用客户版布局,回执信息与数据库一致，无内部备注泄露,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S13-02,回执信息与数据库一致，无内部备注泄露,not_implemented,[],not_run,[]
S13-03,S13,Request correction,Cashier,支持更正的已记账交易，无同笔待处理更正,打开S18申请表，显示原记录，只能填写替代值与理由,不出现直接Edit/Delete已记账操作,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S13-03,不出现直接Edit/Delete已记账操作,not_implemented,[],not_run,[]
S13-04,S13,Corrections / 更正状态链接,相关员工,更正读取权限,到S18列表或指定更正详情,原回执上可追溯更正编号,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S13-04,原回执上可追溯更正编号,not_implemented,[],not_run,[]
S13-05,S13,Export transactions,财务读取角色,当前筛选及导出权限,继承GLOBAL导出GET /transactions/export,空结果导出带表头，范围与界面一致,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S13-05,空结果导出带表头，范围与界面一致,not_implemented,[],not_run,[]
S14-01,S14,贷款行 / 状态标签 / 筛选,贷款读取角色,读取范围,到S08；筛选按active/overdue/default/settled分别查询,overdue不被当成default；0余额不自动等于资产已归还,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S14-01,overdue不被当成default；0余额不自动等于资产已归还,not_implemented,[],not_run,[]
S15-01,S15,频率 / 首期日期 / 期数 / 利息方法 / 费率周期,Loan officer,DRAFT；只能选已批准政策允许值,编辑terms草稿；变更任一项使旧preview失效,没有政策显示未配置，不能默认图片利率,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S15-01,没有政策显示未配置，不能默认图片利率,not_implemented,[],not_run,[]
S15-02,S15,Add fee,Loan officer,DRAFT；正式政策允许该费用,增加费用行，名称、金额、时点等必填,空行不能preview；禁止负数或未经政策允许的费用,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S15-02,空行不能preview；禁止负数或未经政策允许的费用,not_implemented,[],not_run,[]
S15-03,S15,Edit fee / Remove fee,Loan officer,DRAFT；不是已批准快照,编辑费用／确认移除并失效旧preview,预览重新计算；历史批准费用不改变,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S15-03,预览重新计算；历史批准费用不改变,not_implemented,[],not_run,[]
S15-04,S15,Preview schedule,Loan officer,政策、金额、周期、日期、期数和费用齐全,POST /applications/:id/schedule-preview,返回每期明细及总额，版本绑定输入，精度与日期边界可测试,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S15-04,返回每期明细及总额，版本绑定输入，精度与日期边界可测试,not_implemented,[],not_run,[]
S15-05,S15,Save draft,Loan officer,DRAFT；已填合法,PUT /applications/:id/terms含version,刷新保存参数；未生成计划仍不能提交,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S15-05,刷新保存参数；未生成计划仍不能提交,not_implemented,[],not_run,[]
S15-06,S15,Continue,Loan officer,最新preview有效且已保存terms,保存并进入S22,修改费率后不能沿用旧preview继续,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S15-06,修改费率后不能沿用旧preview继续,not_implemented,[],not_run,[]
